"precio_data","kms_data","ano_data","cc_data","puertas_data","combustible"
"10.99","210","2013","116","5","diesel"
"15.9","139.5","2011","250","3","gasolina"
"2.6","164","2002","100","3","gasolina"
"16.8","145","2013","184","5","diesel"
"17","172","2014","136","5","diesel"
"12.5","178","2008","204","2","diesel"
"12.99","96","2011","126","2","gasolina"
"10.6","147","2009","140","5","diesel"
"6","148","2011","90","5","diesel"
"9.5","250","2007","190","5","diesel"
"17.5","28","2015","140","4","diesel"
"4.499","226.4","2006","143","5","diesel"
"5.999","170","2003","230","5","gasolina"
"14.4","150","2015","140","4","diesel"
"24","206","2014","218","5","diesel"
"5.5","150","2011","110","5","diesel"
"6.499","168.4","2012","130","5","diesel"
"79","47","2016","385","3","gasolina"
"12.99","207","2013","163","5","diesel"
"5.49","197","2006","90","3","diesel"
"15.9","179","2015","150","5","diesel"
"6.999","47.3","2013","90","5","diesel"
"3.999","168.7","2010","100","5","gasolina"
"4.2","290","2011","95","5","diesel"
"11.49","105","2010","140","3","diesel"
"11.99","102","2012","136","5","diesel"
"7.499","72.388","2010","105","5","gasolina"
"22.79","104","2014","258","4","diesel"
